data,tipo,numero,oggetto,settore
2024-03-16,Determinazione dirigenziale,228,Nomina commissione giudicatrice verde pubblico,Sport
2024-10-04,Determinazione dirigenziale,264,Affidamento incarico per protezione civile,Patrimonio
2024-08-14,Consiglio,110,Modifica regolamento eventi natalizi,Servizi sociali
2024-12-19,Giunta,311,Concessione contributo a progettazione opera pubblica,Ambiente
2024-03-17,Determinazione dirigenziale,349,Concessione contributo a noleggio fotocopiatrici,Lavori pubblici
2024-09-16,Determinazione dirigenziale,327,Approvazione Piano triennale progettazione opera pubblica,Bilancio e tributi
2024-03-22,Determinazione dirigenziale,229,Nomina commissione giudicatrice asili nido comunali,Pubblica istruzione
2024-02-03,Determinazione dirigenziale,147,Indizione gara per illuminazione pubblica,Ambiente
2024-07-01,Determinazione dirigenziale,207,Modifica regolamento trasporto scolastico,Personale
2024-04-21,Giunta,245,Variazione di bilancio relativa a biblioteca civica,Urbanistica
2024-03-06,Consiglio,12,Approvazione Piano triennale manutenzione cimiteri,Lavori pubblici
2024-07-10,Determinazione dirigenziale,106,Approvazione eventi natalizi,Personale
2024-01-11,Giunta,81,Costituzione gruppo di lavoro per servizio pulizie,Servizi cimiteriali
2024-11-18,Consiglio,334,Nomina commissione giudicatrice protezione civile,Pubblica istruzione
2024-07-05,Consiglio,169,Convenzione con eventi natalizi,Patrimonio
2024-10-11,Determinazione dirigenziale,207,Convenzione con biblioteca civica,Bilancio e tributi
2024-02-17,Giunta,64,Modifica regolamento servizio mensa scolastica,Ambiente
2024-12-04,Determinazione dirigenziale,279,Nomina commissione giudicatrice illuminazione pubblica,Tributi
2024-12-08,Giunta,308,Convenzione con manutenzione strade,Lavori pubblici
2024-09-27,Giunta,96,Approvazione consulenze legali,Sport
2024-04-12,Consiglio,119,Concessione contributo a consulenze legali,Ambiente
2024-09-06,Consiglio,314,Concessione contributo a manutenzione strade,Ambiente
2024-01-26,Giunta,224,Aggiudicazione servizio di progettazione opera pubblica,Patrimonio
2024-10-28,Consiglio,89,Approvazione verde pubblico,Cultura
2024-03-09,Determinazione dirigenziale,286,Convenzione con biblioteca civica,Bilancio e tributi
2024-07-10,Determinazione dirigenziale,217,Costituzione gruppo di lavoro per fornitura cancelleria,Personale
2024-11-27,Giunta,241,Approvazione Piano triennale consulenze legali,Servizi cimiteriali
2024-10-06,Consiglio,229,Indizione gara per asili nido comunali,Sport
2024-02-04,Determinazione dirigenziale,212,Approvazione Piano triennale impianti sportivi comunali,Lavori pubblici
2024-10-23,Giunta,131,Approvazione servizio pulizie,Lavori pubblici
2024-11-10,Consiglio,305,Convenzione con biblioteca civica,Personale
2024-12-07,Consiglio,209,Approvazione sicurezza urbana,Urbanistica
2024-08-16,Giunta,63,Indizione gara per trasporto scolastico,Pubblica istruzione
2024-06-18,Determinazione dirigenziale,299,Nomina commissione giudicatrice protezione civile,Polizia locale
2024-11-11,Determinazione dirigenziale,160,Concessione contributo a protezione civile,Servizi sociali
2024-11-07,Determinazione dirigenziale,228,Modifica regolamento consulenze legali,Servizi sociali
2024-09-17,Determinazione dirigenziale,245,Variazione di bilancio relativa a consulenze legali,Cultura
2024-04-25,Determinazione dirigenziale,296,Nomina commissione giudicatrice ufficio anagrafe,Cultura
2024-05-03,Determinazione dirigenziale,225,Approvazione Piano triennale illuminazione pubblica,Servizi sociali
2024-09-28,Determinazione dirigenziale,237,Variazione di bilancio relativa a asili nido comunali,Polizia locale
2024-09-17,Determinazione dirigenziale,17,Approvazione Piano triennale asili nido comunali,Sport
2024-12-01,Giunta,209,Concessione contributo a illuminazione pubblica,Urbanistica
2024-03-03,Determinazione dirigenziale,21,Nomina commissione giudicatrice protezione civile,Tributi
2024-09-26,Consiglio,150,Convenzione con servizio mensa scolastica,Lavori pubblici
2024-01-10,Consiglio,183,Liquidazione fattura n.7876 per protezione civile,Lavori pubblici
2024-03-20,Determinazione dirigenziale,238,Approvazione Piano triennale verde pubblico,Pubblica istruzione
2024-09-07,Consiglio,127,Liquidazione fattura n.8141 per progettazione opera pubblica,Servizi cimiteriali
2024-04-06,Determinazione dirigenziale,289,Costituzione gruppo di lavoro per trasporto scolastico,Ambiente
2024-03-28,Giunta,324,Modifica regolamento protezione civile,Servizi cimiteriali
2024-06-01,Giunta,42,Variazione di bilancio relativa a protezione civile,Lavori pubblici
2024-05-04,Giunta,91,Liquidazione fattura n.761 per illuminazione pubblica,Patrimonio
2024-10-09,Giunta,346,Indizione gara per manutenzione strade,Personale
2024-07-23,Giunta,283,Variazione di bilancio relativa a ufficio anagrafe,Pubblica istruzione
2024-07-06,Consiglio,318,Nomina commissione giudicatrice progettazione opera pubblica,Bilancio e tributi
2024-10-11,Determinazione dirigenziale,333,Modifica regolamento sicurezza urbana,Patrimonio
2024-12-26,Determinazione dirigenziale,332,Variazione di bilancio relativa a servizio pulizie,Servizi cimiteriali
2024-01-28,Determinazione dirigenziale,33,Variazione di bilancio relativa a asili nido comunali,Lavori pubblici
2024-05-13,Giunta,79,Costituzione gruppo di lavoro per ufficio anagrafe,Pubblica istruzione
2024-11-18,Determinazione dirigenziale,341,Costituzione gruppo di lavoro per trasporto scolastico,Personale
2024-06-24,Determinazione dirigenziale,220,Aggiudicazione servizio di consulenze legali,Ambiente
2024-02-15,Determinazione dirigenziale,43,Modifica regolamento biblioteca civica,Tributi
2024-01-01,Determinazione dirigenziale,57,Approvazione ufficio anagrafe,Patrimonio
2024-03-28,Determinazione dirigenziale,153,Variazione di bilancio relativa a biblioteca civica,Urbanistica
2024-07-11,Giunta,135,Approvazione ufficio anagrafe,Servizi cimiteriali
2024-01-15,Giunta,111,Modifica regolamento illuminazione pubblica,Servizi sociali
2024-02-01,Determinazione dirigenziale,33,Nomina commissione giudicatrice impianti sportivi comunali,Patrimonio
2024-12-03,Giunta,265,Aggiudicazione servizio di manutenzione cimiteri,Pubblica istruzione
2024-07-26,Determinazione dirigenziale,83,Modifica regolamento eventi natalizi,Bilancio e tributi
2024-01-07,Determinazione dirigenziale,23,Approvazione impianti sportivi comunali,Lavori pubblici
2024-06-22,Giunta,199,Convenzione con ufficio anagrafe,Personale
2024-03-10,Giunta,104,Liquidazione fattura n.3951 per verde pubblico,Servizi sociali
2024-04-19,Determinazione dirigenziale,287,Concessione contributo a impianti sportivi comunali,Bilancio e tributi
2024-12-24,Consiglio,323,Approvazione consulenze legali,Servizi cimiteriali
2024-08-09,Determinazione dirigenziale,182,Convenzione con protezione civile,Servizi cimiteriali
2024-10-14,Determinazione dirigenziale,30,Approvazione Piano triennale consulenze legali,Urbanistica
2024-07-23,Determinazione dirigenziale,219,Variazione di bilancio relativa a servizio mensa scolastica,Tributi
2024-10-12,Determinazione dirigenziale,100,Approvazione Piano triennale eventi natalizi,Ambiente
2024-05-17,Determinazione dirigenziale,228,Approvazione Piano triennale progettazione opera pubblica,Servizi sociali
2024-09-14,Determinazione dirigenziale,205,Affidamento incarico per noleggio fotocopiatrici,Lavori pubblici
2024-10-22,Giunta,75,Concessione contributo a servizio pulizie,Tributi
2024-11-10,Determinazione dirigenziale,40,Convenzione con noleggio fotocopiatrici,Cultura
2024-06-24,Giunta,236,Approvazione Piano triennale manutenzione strade,Servizi sociali
2024-12-18,Giunta,91,Concessione contributo a manutenzione strade,Urbanistica
2024-12-18,Determinazione dirigenziale,57,Liquidazione fattura n.2508 per noleggio fotocopiatrici,Cultura
2024-06-14,Determinazione dirigenziale,267,Variazione di bilancio relativa a illuminazione pubblica,Urbanistica
2024-03-13,Giunta,104,Variazione di bilancio relativa a asili nido comunali,Servizi sociali
2024-11-03,Determinazione dirigenziale,316,Aggiudicazione servizio di progettazione opera pubblica,Patrimonio
2024-08-05,Determinazione dirigenziale,213,Aggiudicazione servizio di protezione civile,Polizia locale
2024-04-20,Determinazione dirigenziale,205,Convenzione con manutenzione cimiteri,Cultura
2024-08-02,Giunta,329,Variazione di bilancio relativa a noleggio fotocopiatrici,Patrimonio
2024-06-13,Giunta,330,Modifica regolamento eventi natalizi,Cultura
2024-05-11,Consiglio,125,Approvazione servizio pulizie,Personale
2024-04-04,Determinazione dirigenziale,222,Approvazione Piano triennale consulenze legali,Patrimonio
2024-01-03,Determinazione dirigenziale,154,Approvazione fornitura cancelleria,Servizi cimiteriali
2024-09-23,Determinazione dirigenziale,230,Liquidazione fattura n.1295 per impianti sportivi comunali,Personale
2024-03-16,Determinazione dirigenziale,323,Aggiudicazione servizio di illuminazione pubblica,Polizia locale
2024-02-08,Consiglio,276,Nomina commissione giudicatrice illuminazione pubblica,Sport
2024-02-22,Giunta,324,Affidamento incarico per consulenze legali,Servizi cimiteriali
2024-08-18,Giunta,158,Variazione di bilancio relativa a asili nido comunali,Servizi cimiteriali
2024-02-07,Giunta,329,Nomina commissione giudicatrice biblioteca civica,Pubblica istruzione
2024-06-06,Determinazione dirigenziale,129,Indizione gara per servizio pulizie,Lavori pubblici
2024-12-27,Determinazione dirigenziale,63,Concessione contributo a sicurezza urbana,Servizi sociali
2024-06-14,Determinazione dirigenziale,21,Concessione contributo a asili nido comunali,Lavori pubblici
2024-03-14,Consiglio,108,Aggiudicazione servizio di noleggio fotocopiatrici,Servizi cimiteriali
2024-05-04,Determinazione dirigenziale,36,Affidamento incarico per verde pubblico,Pubblica istruzione
2024-04-28,Giunta,81,Liquidazione fattura n.2945 per illuminazione pubblica,Servizi sociali
2024-10-12,Determinazione dirigenziale,186,Concessione contributo a biblioteca civica,Personale
2024-03-27,Determinazione dirigenziale,124,Modifica regolamento sicurezza urbana,Personale
2024-06-18,Determinazione dirigenziale,49,Affidamento incarico per ufficio anagrafe,Polizia locale
2024-07-27,Consiglio,130,Nomina commissione giudicatrice eventi natalizi,Ambiente
2024-10-05,Consiglio,330,Variazione di bilancio relativa a biblioteca civica,Lavori pubblici
2024-07-11,Giunta,120,Approvazione Piano triennale servizio pulizie,Urbanistica
2024-12-02,Giunta,94,Approvazione servizio mensa scolastica,Sport
2024-03-20,Determinazione dirigenziale,112,Aggiudicazione servizio di servizio mensa scolastica,Sport
2024-02-25,Consiglio,343,Aggiudicazione servizio di noleggio fotocopiatrici,Cultura
2024-11-03,Determinazione dirigenziale,98,Concessione contributo a biblioteca civica,Urbanistica
2024-07-07,Determinazione dirigenziale,247,Convenzione con illuminazione pubblica,Servizi sociali
2024-06-20,Determinazione dirigenziale,206,Affidamento incarico per servizio mensa scolastica,Urbanistica
2024-05-19,Determinazione dirigenziale,131,Modifica regolamento illuminazione pubblica,Lavori pubblici
2024-01-02,Consiglio,307,Affidamento incarico per asili nido comunali,Tributi
2024-09-03,Consiglio,116,Convenzione con sicurezza urbana,Ambiente
2024-01-28,Giunta,282,Aggiudicazione servizio di trasporto scolastico,Patrimonio
2024-10-21,Determinazione dirigenziale,294,Approvazione Piano triennale consulenze legali,Polizia locale
2024-03-27,Determinazione dirigenziale,39,Modifica regolamento consulenze legali,Servizi sociali
2024-04-14,Giunta,87,Concessione contributo a impianti sportivi comunali,Servizi sociali
2024-11-11,Giunta,175,Costituzione gruppo di lavoro per manutenzione strade,Bilancio e tributi
2024-03-09,Determinazione dirigenziale,311,Nomina commissione giudicatrice impianti sportivi comunali,Servizi cimiteriali
2024-09-20,Giunta,183,Indizione gara per manutenzione cimiteri,Ambiente
2024-04-22,Giunta,203,Approvazione Piano triennale eventi natalizi,Patrimonio
2024-08-26,Giunta,191,Variazione di bilancio relativa a biblioteca civica,Lavori pubblici
2024-09-05,Giunta,244,Indizione gara per trasporto scolastico,Urbanistica
2024-04-07,Determinazione dirigenziale,200,Approvazione Piano triennale eventi natalizi,Personale
2024-10-03,Determinazione dirigenziale,305,Indizione gara per consulenze legali,Sport
2025-08-23,Determinazione dirigenziale,223,Liquidazione fattura n.9692 per manutenzione strade,Bilancio e tributi
2025-07-18,Consiglio,286,Modifica regolamento illuminazione pubblica,Sport
2025-01-10,Determinazione dirigenziale,8,Indizione gara per consulenze legali,Bilancio e tributi
2025-01-02,Determinazione dirigenziale,340,Aggiudicazione servizio di manutenzione cimiteri,Polizia locale
2025-06-12,Determinazione dirigenziale,243,Modifica regolamento trasporto scolastico,Ambiente
2025-04-03,Determinazione dirigenziale,153,Concessione contributo a fornitura cancelleria,Patrimonio
2025-09-10,Consiglio,319,Modifica regolamento trasporto scolastico,Ambiente
2025-04-05,Determinazione dirigenziale,189,Approvazione manutenzione strade,Bilancio e tributi
2025-08-15,Determinazione dirigenziale,319,Approvazione Piano triennale biblioteca civica,Polizia locale
2025-02-03,Consiglio,230,Variazione di bilancio relativa a manutenzione cimiteri,Personale
2025-11-17,Consiglio,224,Nomina commissione giudicatrice illuminazione pubblica,Patrimonio
2025-07-17,Determinazione dirigenziale,37,Costituzione gruppo di lavoro per impianti sportivi comunali,Ambiente
2025-06-15,Determinazione dirigenziale,15,Approvazione trasporto scolastico,Servizi cimiteriali
2025-09-18,Determinazione dirigenziale,292,Aggiudicazione servizio di eventi natalizi,Tributi
2025-03-15,Giunta,346,Nomina commissione giudicatrice ufficio anagrafe,Patrimonio
2025-07-07,Determinazione dirigenziale,70,Liquidazione fattura n.2163 per ufficio anagrafe,Servizi sociali
2025-03-21,Giunta,257,Variazione di bilancio relativa a eventi natalizi,Ambiente
2025-06-18,Determinazione dirigenziale,207,Concessione contributo a illuminazione pubblica,Servizi cimiteriali
2025-05-04,Determinazione dirigenziale,214,Liquidazione fattura n.4207 per manutenzione cimiteri,Servizi sociali
2025-12-13,Determinazione dirigenziale,204,Convenzione con biblioteca civica,Lavori pubblici
2025-10-24,Determinazione dirigenziale,150,Aggiudicazione servizio di impianti sportivi comunali,Patrimonio
2025-02-13,Determinazione dirigenziale,45,Costituzione gruppo di lavoro per fornitura cancelleria,Sport
2025-03-19,Giunta,267,Liquidazione fattura n.5419 per noleggio fotocopiatrici,Lavori pubblici
2025-07-05,Consiglio,261,Approvazione verde pubblico,Servizi sociali
2025-02-08,Determinazione dirigenziale,104,Affidamento incarico per fornitura cancelleria,Urbanistica
2025-08-01,Consiglio,220,Convenzione con biblioteca civica,Lavori pubblici
2025-01-28,Determinazione dirigenziale,343,Convenzione con servizio pulizie,Pubblica istruzione
2025-02-04,Determinazione dirigenziale,247,Approvazione consulenze legali,Patrimonio
2025-03-19,Determinazione dirigenziale,19,Indizione gara per eventi natalizi,Cultura
2025-02-28,Determinazione dirigenziale,68,Convenzione con fornitura cancelleria,Pubblica istruzione
2025-10-03,Determinazione dirigenziale,104,Modifica regolamento progettazione opera pubblica,Urbanistica
2025-10-01,Determinazione dirigenziale,37,Nomina commissione giudicatrice ufficio anagrafe,Sport
2025-09-18,Consiglio,344,Modifica regolamento biblioteca civica,Pubblica istruzione
2025-01-18,Determinazione dirigenziale,74,Variazione di bilancio relativa a noleggio fotocopiatrici,Lavori pubblici
2025-06-13,Determinazione dirigenziale,300,Convenzione con asili nido comunali,Patrimonio
2025-08-06,Determinazione dirigenziale,20,Costituzione gruppo di lavoro per protezione civile,Tributi
2025-12-02,Giunta,312,Approvazione impianti sportivi comunali,Servizi sociali
2025-01-14,Giunta,208,Modifica regolamento servizio pulizie,Ambiente
2025-08-19,Determinazione dirigenziale,172,Convenzione con asili nido comunali,Polizia locale
2025-11-25,Determinazione dirigenziale,271,Approvazione biblioteca civica,Patrimonio
2025-02-25,Determinazione dirigenziale,118,Modifica regolamento consulenze legali,Lavori pubblici
2025-04-22,Determinazione dirigenziale,330,Variazione di bilancio relativa a manutenzione strade,Personale
2025-08-26,Giunta,341,Indizione gara per consulenze legali,Pubblica istruzione
2025-04-09,Determinazione dirigenziale,299,Nomina commissione giudicatrice verde pubblico,Patrimonio
2025-07-07,Determinazione dirigenziale,175,Concessione contributo a protezione civile,Cultura
2025-08-23,Determinazione dirigenziale,54,Concessione contributo a ufficio anagrafe,Tributi
2025-10-16,Determinazione dirigenziale,24,Indizione gara per illuminazione pubblica,Bilancio e tributi
2025-09-02,Giunta,53,Nomina commissione giudicatrice consulenze legali,Servizi cimiteriali
2025-03-03,Determinazione dirigenziale,62,Aggiudicazione servizio di manutenzione cimiteri,Servizi cimiteriali
2025-02-01,Consiglio,297,Liquidazione fattura n.7227 per biblioteca civica,Cultura
2025-10-12,Giunta,329,Convenzione con ufficio anagrafe,Bilancio e tributi
2025-03-21,Giunta,36,Modifica regolamento ufficio anagrafe,Patrimonio
2025-10-09,Giunta,338,Variazione di bilancio relativa a manutenzione cimiteri,Pubblica istruzione
2025-12-18,Giunta,60,Approvazione Piano triennale biblioteca civica,Tributi
2025-04-25,Determinazione dirigenziale,153,Liquidazione fattura n.8846 per sicurezza urbana,Urbanistica
2025-07-03,Consiglio,281,Costituzione gruppo di lavoro per consulenze legali,Ambiente
2025-10-04,Determinazione dirigenziale,212,Concessione contributo a impianti sportivi comunali,Personale
2025-10-04,Giunta,86,Indizione gara per verde pubblico,Cultura
2025-04-03,Determinazione dirigenziale,26,Approvazione illuminazione pubblica,Servizi cimiteriali
2025-10-16,Giunta,44,Nomina commissione giudicatrice ufficio anagrafe,Sport
2025-08-11,Determinazione dirigenziale,146,Approvazione trasporto scolastico,Pubblica istruzione
2025-02-26,Giunta,266,Nomina commissione giudicatrice servizio pulizie,Cultura
2025-12-18,Giunta,199,Costituzione gruppo di lavoro per manutenzione cimiteri,Servizi sociali
2025-01-22,Giunta,326,Variazione di bilancio relativa a progettazione opera pubblica,Sport
2025-05-26,Giunta,146,Indizione gara per consulenze legali,Bilancio e tributi
2025-02-09,Determinazione dirigenziale,238,Concessione contributo a servizio mensa scolastica,Pubblica istruzione
2025-01-15,Determinazione dirigenziale,318,Concessione contributo a noleggio fotocopiatrici,Cultura
2025-03-11,Giunta,182,Nomina commissione giudicatrice fornitura cancelleria,Pubblica istruzione
2025-03-15,Consiglio,173,Affidamento incarico per verde pubblico,Tributi
2025-01-24,Consiglio,272,Indizione gara per manutenzione cimiteri,Tributi
2025-04-27,Determinazione dirigenziale,211,Costituzione gruppo di lavoro per progettazione opera pubblica,Urbanistica
2025-09-22,Giunta,236,Concessione contributo a verde pubblico,Tributi
2025-05-24,Determinazione dirigenziale,57,Variazione di bilancio relativa a manutenzione strade,Urbanistica
2025-10-17,Giunta,78,Aggiudicazione servizio di progettazione opera pubblica,Patrimonio
2025-07-11,Giunta,300,Costituzione gruppo di lavoro per progettazione opera pubblica,Polizia locale
2025-11-11,Giunta,254,Approvazione Piano triennale servizio pulizie,Bilancio e tributi
2025-02-20,Determinazione dirigenziale,110,Modifica regolamento impianti sportivi comunali,Polizia locale
2025-06-08,Giunta,331,Approvazione Piano triennale manutenzione strade,Patrimonio
2025-01-10,Giunta,122,Approvazione Piano triennale verde pubblico,Lavori pubblici
2025-04-10,Determinazione dirigenziale,143,Nomina commissione giudicatrice eventi natalizi,Servizi cimiteriali
2025-02-11,Giunta,99,Indizione gara per protezione civile,Sport
2025-12-09,Giunta,316,Costituzione gruppo di lavoro per illuminazione pubblica,Tributi
2025-04-18,Determinazione dirigenziale,243,Aggiudicazione servizio di manutenzione strade,Tributi
2025-10-22,Determinazione dirigenziale,186,Nomina commissione giudicatrice ufficio anagrafe,Pubblica istruzione
2025-09-03,Determinazione dirigenziale,323,Concessione contributo a impianti sportivi comunali,Bilancio e tributi
2025-09-20,Determinazione dirigenziale,94,Approvazione servizio pulizie,Ambiente
2025-09-27,Determinazione dirigenziale,224,Aggiudicazione servizio di protezione civile,Cultura
2025-03-04,Giunta,193,Approvazione biblioteca civica,Servizi sociali
2025-12-05,Determinazione dirigenziale,317,Approvazione Piano triennale fornitura cancelleria,Polizia locale
2025-08-22,Determinazione dirigenziale,97,Concessione contributo a impianti sportivi comunali,Ambiente
2025-04-27,Consiglio,294,Nomina commissione giudicatrice illuminazione pubblica,Bilancio e tributi
2025-12-15,Determinazione dirigenziale,42,Convenzione con verde pubblico,Cultura
2025-10-04,Determinazione dirigenziale,71,Costituzione gruppo di lavoro per fornitura cancelleria,Personale
2025-12-24,Determinazione dirigenziale,24,Modifica regolamento impianti sportivi comunali,Ambiente
2025-10-11,Giunta,96,Approvazione Piano triennale servizio mensa scolastica,Sport
2025-07-01,Determinazione dirigenziale,219,Modifica regolamento manutenzione strade,Servizi cimiteriali
2025-01-17,Giunta,166,Nomina commissione giudicatrice servizio pulizie,Urbanistica
2025-03-05,Consiglio,74,Variazione di bilancio relativa a trasporto scolastico,Sport
2025-03-20,Determinazione dirigenziale,185,Approvazione Piano triennale verde pubblico,Patrimonio
2025-02-11,Determinazione dirigenziale,226,Modifica regolamento sicurezza urbana,Sport
2025-08-21,Giunta,22,Nomina commissione giudicatrice impianti sportivi comunali,Cultura
2025-11-04,Giunta,312,Costituzione gruppo di lavoro per consulenze legali,Tributi
2025-11-02,Giunta,246,Costituzione gruppo di lavoro per manutenzione cimiteri,Polizia locale
2025-04-06,Consiglio,267,Approvazione Piano triennale progettazione opera pubblica,Tributi
2025-01-23,Determinazione dirigenziale,218,Affidamento incarico per impianti sportivi comunali,Personale
2025-05-02,Determinazione dirigenziale,197,Variazione di bilancio relativa a protezione civile,Servizi cimiteriali
2025-04-01,Giunta,135,Costituzione gruppo di lavoro per ufficio anagrafe,Ambiente
2025-07-12,Determinazione dirigenziale,120,Nomina commissione giudicatrice consulenze legali,Pubblica istruzione
2025-12-12,Determinazione dirigenziale,219,Approvazione Piano triennale trasporto scolastico,Patrimonio
2025-10-01,Giunta,274,Concessione contributo a eventi natalizi,Personale
2025-11-26,Consiglio,107,Indizione gara per consulenze legali,Ambiente
2025-04-26,Determinazione dirigenziale,184,Variazione di bilancio relativa a trasporto scolastico,Pubblica istruzione
2025-06-17,Determinazione dirigenziale,231,Nomina commissione giudicatrice progettazione opera pubblica,Cultura
2025-10-04,Giunta,136,Concessione contributo a verde pubblico,Personale
2025-10-11,Giunta,160,Indizione gara per manutenzione cimiteri,Patrimonio
2025-11-01,Determinazione dirigenziale,146,Approvazione Piano triennale fornitura cancelleria,Urbanistica
2025-12-02,Determinazione dirigenziale,22,Concessione contributo a biblioteca civica,Urbanistica
2025-07-15,Determinazione dirigenziale,332,Liquidazione fattura n.3079 per protezione civile,Sport
2025-10-11,Giunta,293,Approvazione Piano triennale illuminazione pubblica,Polizia locale
2025-06-21,Determinazione dirigenziale,243,Indizione gara per consulenze legali,Patrimonio
2025-08-06,Determinazione dirigenziale,221,Variazione di bilancio relativa a biblioteca civica,Polizia locale
2025-12-02,Determinazione dirigenziale,265,Approvazione noleggio fotocopiatrici,Sport
2025-07-11,Determinazione dirigenziale,302,Approvazione Piano triennale biblioteca civica,Cultura
2025-06-23,Determinazione dirigenziale,174,Variazione di bilancio relativa a consulenze legali,Polizia locale
2025-10-05,Determinazione dirigenziale,123,Approvazione Piano triennale eventi natalizi,Servizi sociali
2025-03-24,Determinazione dirigenziale,176,Indizione gara per asili nido comunali,Patrimonio
2025-03-01,Determinazione dirigenziale,316,Variazione di bilancio relativa a servizio pulizie,Tributi
2025-10-11,Determinazione dirigenziale,181,Approvazione Piano triennale fornitura cancelleria,Servizi sociali
2025-12-16,Determinazione dirigenziale,81,Approvazione servizio pulizie,Personale
2025-07-16,Giunta,20,Approvazione Piano triennale eventi natalizi,Polizia locale
2025-05-24,Consiglio,68,Affidamento incarico per illuminazione pubblica,Servizi sociali
2025-11-08,Consiglio,91,Approvazione protezione civile,Lavori pubblici
2025-01-10,Consiglio,270,Aggiudicazione servizio di protezione civile,Bilancio e tributi
2025-08-15,Consiglio,105,Approvazione eventi natalizi,Pubblica istruzione
2025-02-22,Determinazione dirigenziale,265,Modifica regolamento trasporto scolastico,Tributi
2025-08-05,Giunta,315,Liquidazione fattura n.8688 per sicurezza urbana,Sport
2025-07-26,Determinazione dirigenziale,238,Variazione di bilancio relativa a ufficio anagrafe,Cultura
2025-08-10,Determinazione dirigenziale,279,Affidamento incarico per progettazione opera pubblica,Lavori pubblici
2025-10-25,Determinazione dirigenziale,189,Aggiudicazione servizio di fornitura cancelleria,Urbanistica
2025-09-27,Giunta,31,Concessione contributo a fornitura cancelleria,Patrimonio
2025-03-14,Giunta,201,Affidamento incarico per servizio mensa scolastica,Pubblica istruzione
2025-11-06,Determinazione dirigenziale,139,Nomina commissione giudicatrice eventi natalizi,Personale
2025-09-25,Consiglio,227,Approvazione eventi natalizi,Personale
2025-03-09,Determinazione dirigenziale,253,Approvazione Piano triennale sicurezza urbana,Personale
2025-02-04,Consiglio,179,Nomina commissione giudicatrice progettazione opera pubblica,Ambiente
2025-05-01,Giunta,55,Affidamento incarico per noleggio fotocopiatrici,Lavori pubblici
2025-04-02,Determinazione dirigenziale,113,Affidamento incarico per asili nido comunali,Polizia locale
2025-09-03,Determinazione dirigenziale,26,Approvazione Piano triennale sicurezza urbana,Personale
